year,month,day,US MIR % (6mo),EU MIR %
2019,10,18,1.63,0
2019,10,21,1.65,0
2019,10,22,1.64,0
2019,10,23,1.64,0
2019,10,24,1.65,0
2019,10,25,1.66,0
2019,10,28,1.65,0
2019,10,29,1.64,0
2019,10,30,1.62,0
2019,10,31,1.57,0
2019,11,01,1.55,0
2019,11,04,1.57,0
2019,11,05,1.58,0
2019,11,06,1.57,0
2019,11,07,1.58,0
2019,11,08,1.58,0
2019,11,11,ND,0
